Date,Open,Low,High,Close
2020-01-15,484.0,479.55,486.85,484.0
2020-01-16,484.0,479.0,487.45,480.25
2020-01-17,480.0,476.55,482.95,480.3
2020-01-20,480.45,476.65,483.15,480.15
2020-01-21,478.95,472.2,479.55,473.4
2020-01-22,474.5,470.25,480.3,471.6
2020-01-23,464.5,459.35,475.85,465.15
2020-01-24,465.0,456.85,467.75,458.85
2020-01-27,457.5,454.2,466.5,464.45
2020-01-28,465.0,458.95,468.0,464.7
2020-01-29,464.7,460.35,467.4,461.55
2020-01-30,461.0,446.35,461.0,451.0
2020-01-31,453.95,442.1,453.95,446.9
2020-02-01,446.5,437.75,452.2,444.2
2020-02-03,444.0,439.4,450.65,444.55
2020-02-04,446.7,444.2,452.45,448.45
2020-02-05,449.55,437.5,459.15,447.55
2020-02-06,462.5,435.35,464.35,439.65
2020-02-07,440.0,437.3,445.9,443.2
2020-02-10,444.2,442.1,451.0,444.75
2020-02-11,447.1,443.35,452.0,450.6
2020-02-12,454.95,445.0,454.95,446.8
2020-02-13,446.8,440.5,448.9,443.4
2020-02-14,444.0,441.5,448.9,447.1
2020-02-17,444.5,430.1,445.75,431.9
2020-02-18,433.0,428.1,437.65,436.0
2020-02-19,437.8,437.4,449.2,447.5
2020-02-20,448.0,434.5,448.8,435.75
2020-02-24,436.0,426.55,436.7,430.15
2020-02-25,430.2,420.0,431.2,425.8
2020-02-26,406.0,405.8,425.0,422.2
2020-02-27,411.1,409.0,424.0,421.2
2020-02-28,413.0,398.05,416.45,402.1
2020-03-02,407.0,394.65,411.25,401.95
2020-03-03,402.0,402.0,429.2,425.3
2020-03-04,425.6,420.0,449.8,447.65
2020-03-05,447.85,437.45,472.0,440.6
2020-03-06,425.0,423.05,438.15,434.4
2020-03-09,425.0,423.5,432.65,426.15
2020-03-11,425.0,410.2,426.15,417.1
2020-03-12,412.5,390.75,412.5,394.75
2020-03-13,388.0,355.3,434.95,425.55
2020-03-16,416.0,392.75,423.9,396.4
2020-03-17,397.0,390.75,422.0,401.75
2020-03-18,411.8,381.7,411.8,386.0
2020-03-19,374.8,362.9,390.75,374.7
2020-03-20,379.8,372.45,399.8,392.8
2020-03-23,370.0,370.0,406.9,375.25
2020-03-24,380.0,372.55,409.75,377.45
2020-03-25,378.0,374.0,394.9,376.45
2020-03-26,383.0,380.5,394.7,386.15
2020-03-27,393.0,391.95,411.0,407.65
2020-03-30,413.8,407.65,438.7,431.75
2020-03-31,446.0,420.0,446.6,422.85
2020-04-01,424.9,410.4,430.9,413.75
2020-04-03,425.0,416.25,454.7,449.2
2020-04-07,479.0,452.0,513.4,492.25
2020-04-08,496.95,490.0,530.0,512.75
2020-04-09,564.0,564.0,610.0,579.6
2020-04-13,605.0,583.0,605.0,592.85
2020-04-15,604.45,578.6,614.0,592.35
2020-04-16,590.0,582.0,612.8,600.45
2020-04-17,615.0,595.0,615.0,598.0
2020-04-20,598.0,580.0,599.4,585.4
2020-04-21,578.0,570.0,609.8,592.1
2020-04-22,594.9,585.0,599.75,587.2
2020-04-23,590.0,579.05,603.9,586.7
2020-04-24,586.4,583.6,606.0,599.3
2020-04-27,600.0,600.0,632.65,608.7
2020-04-28,616.8,593.25,621.25,598.6
2020-04-29,605.0,590.1,607.9,596.25
2020-04-30,607.9,586.1,611.45,589.6
2020-05-04,589.0,580.6,616.95,611.85
2020-05-05,623.05,595.0,623.05,596.9
2020-05-06,597.5,590.0,606.0,591.75
2020-05-07,598.0,587.5,601.8,589.55
2020-05-08,598.0,589.5,601.2,591.9
2020-05-11,600.95,583.45,600.95,586.05
2020-05-12,587.0,566.2,593.8,570.15
2020-05-13,600.0,568.9,605.0,570.2
2020-05-14,571.0,566.1,577.9,569.75
2020-05-15,572.0,565.6,585.0,570.3
2020-05-18,570.6,570.5,605.0,600.45
2020-05-19,600.0,590.2,608.8,594.95
2020-05-20,597.0,595.4,624.35,620.65
2020-05-21,620.65,612.3,626.85,616.6
2020-05-22,616.7,610.1,641.85,639.35
2020-05-26,640.0,624.05,646.9,627.7
2020-05-27,630.0,625.8,637.8,633.05
2020-05-28,634.0,626.05,637.65,628.35
2020-05-29,633.0,631.0,650.95,648.15
2020-06-01,649.0,634.55,652.6,642.5
2020-06-02,644.9,636.0,658.65,637.6
2020-06-03,646.85,635.3,649.5,641.2
2020-06-04,643.0,642.5,664.8,660.55
2020-06-05,665.0,649.0,669.75,650.9
2020-06-08,656.7,633.05,657.8,635.1
2020-06-09,638.9,637.05,654.3,640.05
2020-06-10,646.8,639.8,650.75,642.95
2020-06-11,645.65,632.8,646.95,635.0
2020-06-12,616.3,616.3,645.0,643.6
2020-06-15,643.0,637.0,653.5,643.65
2020-06-16,644.5,632.45,650.0,637.8
2020-06-17,640.0,635.0,643.8,640.35
2020-06-18,641.65,636.4,644.8,642.05
2020-06-19,648.85,631.5,648.85,636.2
2020-06-22,691.0,651.65,692.5,655.95
2020-06-23,674.0,655.4,674.0,659.8
2020-06-24,660.0,628.3,662.25,631.2
2020-06-25,632.0,629.15,642.0,634.9
2020-06-26,639.0,631.6,643.65,634.9
2020-06-29,637.0,635.4,648.0,644.9
2020-06-30,647.95,638.0,649.9,640.25
2020-07-01,642.6,621.05,642.6,627.1
2020-07-02,630.0,626.0,654.45,646.2
2020-07-03,652.95,635.5,652.95,638.8
2020-07-06,640.0,629.2,644.25,634.6
2020-07-07,637.95,635.2,642.6,636.55
2020-07-08,643.45,632.5,648.0,634.4
2020-07-09,643.95,636.25,643.95,639.05
